Producto,AlbaranTransito,None,AlbaranOrigen,None,AlbaranOrigen,IDInterno,IDInterno
'PaperPoint #45 Spident ', 'TRANSITO - TIENDA LIMA/00087', None, 'LA PLATA - TIENDA LIMA/00137', None, 'LA PLATA - TIENDA LIMA/00137', 3359, 3358
'Sistema de Imágenes Mod. H1 "Woodpecker"', 'TRANSITO - TIENDA LIMA/00219', None, 'LA PLATA - TIENDA LIMA/00303', 'LA PLATA - TIENDA LIMA/00303', 'LA PLATA - TIENDA LIMA/00303', 7699, 7698
'Core.it_Y Muestra  - N.C.V. 1Jeringa x 10g', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Ultrasonic Scaler UDS-L LED. Woodpecker', 'TRANSITO - TIENDA LIMA/00228', None, 'LA PLATA - TIENDA LIMA/00313', None, 'LA PLATA - TIENDA LIMA/00313', 8083, 8082
'Curing Light  LED.C Cure Woodpecker', 'TRANSITO - TIENDA LIMA/00080', None, 'LA PLATA - TIENDA LIMA/00125', None, 'LA PLATA - TIENDA LIMA/00125', 2950, 2949
'Guttapercha 04T#30 Spident ', 'TRANSITO - TIENDA LIMA/00071', None, 'LA PLATA - TIENDA LIMA/00110/LA PLATA - TIENDA LIMA/00112', None, 'LA PLATA - TIENDA LIMA/00110', 2545, 2544
'Root Canal File: TG6 Gold 19mm V0 6pcs/blister', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
'Viopaste. Hidróxido de calcio / Sulfato de Bario.', 'TRANSITO - TIENDA LIMA/00105', None, 'LA PLATA - TIENDA LIMA/00163', None, 'LA PLATA - TIENDA LIMA/00163', 4076, 4023
'Paperpoint 06T#25 Spident ', 'TRANSITO - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00240', None, 'LA PLATA - TIENDA LIMA/00240', 6128, 6127
'[WMIN] Curing Light  MiniS RTA', 'TRANSITO - LA PLATA/00334', None, 'LOS OLIVOS:LAS PLATAS/00282', None, None, 7574, None
'Ultrasonic Scaler UDS-E LED Woodpecker', 'TRANSITO - TIENDA LIMA/00212', None, 'LA PLATA - TIENDA LIMA/00292/LA PLATA - TIENDA LIMA/00290', None, 'LA PLATA - TIENDA LIMA/00290', 7427, 7352
'Ultrasonic Scaler UDS-E LED Woodpecker', 'TRANSITO - TIENDA LIMA/00216', None, 'LA PLATA - TIENDA LIMA/00302/LA PLATA - TIENDA LIMA/00292/LA PLATA - TIENDA LIMA/00290/LA PLATA - TIENDA LIMA/00299', None, 'LA PLATA - TIENDA LIMA/00290', 7592, 7352
'Ultrasonic Scaler UDS-E LED Woodpecker', 'TRANSITO - TIENDA LIMA/00217', None, 'LA PLATA - TIENDA LIMA/00302/LA PLATA - TIENDA LIMA/00292/LA PLATA - TIENDA LIMA/00290/LA PLATA - TIENDA LIMA/00299', None, 'LA PLATA - TIENDA LIMA/00290', 7656, 7352
'Ultrasonic Scaler UDS-J2 LED. Woodpecker', 'TRANSITO - TIENDA LIMA/00172', None, 'LA PLATA - TIENDA LIMA/00240', None, 'LA PLATA - TIENDA LIMA/00240', 6128, 6127
'#5 Crystal HD. Softgrip mouth mirror. Gray only. Zirc', 'TRANSITO - TIENDA LIMA/00094', None, 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 'LA PLATA - TIENDA LIMA/00151', 3719, 3718
